source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank,lr_means,cellphone_pvals
1,1,SPARC,ENG,0.4786567444353849,0.9700643264433186,0.55835205,0.0
1,5,COL1A2,CD44,0.4786567444353849,1.0,0.57335263,0.0
3,5,COL6A1,CD44,0.4787124014616583,0.7560347400890852,0.39871925,0.35
1,1,TIMP2,CD44,0.4787124014616583,1.0,0.38413602,0.98
2,2,COL3A1,DDR1,0.4787124014616583,1.0,0.3726789,1.0
2,3,ADAM15,ITGA5,0.4825938345401827,0.0310327123676375,0.40082413,0.0
5,1,COL6A1,ITGA6,0.4825938345401827,1.0,0.3724172,0.31
1,1,CD38,PECAM1,0.4836386904472632,0.0130012172966546,0.5576477,0.0
2,1,PKM,CD44,0.4844549841246699,1.0,0.24134314,0.97
3,1,COL6A1,ITGA6,0.4864961917357086,0.3575378244769062,0.4001336,0.07
1,2,THBS1,CD47,0.4904195292958635,0.5670676267636945,0.37172386,0.0
4,4,FN1,CD44,0.4904195292958635,1.0,0.40794176,0.87
4,2,TIMP1,CD63,0.493659167583128,0.32434487669956585,0.55283475,0.0
4,5,COL4A1,CD44,0.4943639034682734,0.34358994916797275,0.40250292,0.1
1,1,COL6A1,CD44,0.4943639034682734,1.0,0.38171816,0.67
5,5,COL6A1,CD44,0.4943639034682734,1.0,0.37100282,0.71
1,1,COL14A1,CD44,0.49613706301594074,1.0,0.2427794,0.93
1,2,NID1,PTPRF,0.4983293705005645,0.0130012172966546,0.4096178,0.0
1,3,TIMP2,CD44,0.4983293705005645,1.0,0.38278615,1.0
4,4,CCN2,LRP1,0.49869747371660933,0.00329099001276532,0.6639477,0.0
1,4,COL6A1,CD44,0.5023159866403639,1.0,0.4104585,0.36
5,1,FN1,ITGA6,0.5023159866403639,1.0,0.36992025,0.94
1,5,COL6A2,CD44,0.503754341566786,1.0,0.56182504,0.26
5,3,COL18A1,ITGA5,0.5063238081352971,0.0130012172966546,0.4053753,0.0
1,5,COL6A1,ITGA6,0.5063238081352971,1.0,0.38061368,0.27
5,3,LAMC1,CD44,0.5077829184358419,1.0,0.24301544,0.99
3,5,TIMP3,CD44,0.5088296586384055,0.06477313090136133,0.5596328,0.0
5,3,TIMP1,CD63,0.5103528912329897,1.0,0.40580738,0.93
4,1,FN1,CD44,0.5103528912329897,1.0,0.3792014,0.97
5,5,FN1,CD44,0.5103528912329897,1.0,0.3685059,1.0
5,5,COL1A1,CD44,0.5139233124362153,0.8182140093805002,0.5517466,0.34
2,5,FN1,CD44,0.51440329218107,1.0,0.40567207,0.97
1,3,COL6A1,CD44,0.51440329218107,1.0,0.3803683,0.7
4,5,COL4A2,CD44,0.5184750672271627,0.5227712011173687,0.3673339,0.27
2,3,SPARC,ENG,0.5184750672271627,1.0,0.42093533,0.4
1,4,TIMP2,CD44,0.5184750672271627,1.0,0.41287637,0.96
3,5,TIMP1,CD63,0.5190351904649624,0.1602216833818034,0.55100447,0.0
1,4,GAS6,AXL,0.519392606632,0.0130012172966546,0.25098383,0.0
2,5,VIM,CD44,0.5225682726188954,1.0,0.40753502,1.0
5,5,CD38,PECAM1,0.5266829646038939,0.025884662345611594,0.4308991,0.0
4,5,FN1,ITGA6,0.5266829646038939,1.0,0.37809694,0.91
1,4,COL5A1,SDC3,0.5308191994297841,0.0130012172966546,0.36618406,0.0
2,1,FN1,ITGA6,0.5308191994297841,1.0,0.40708643,0.77
5,1,LAMC1,CD44,0.5309661838520415,1.0,0.24436532,1.0
5,2,TIMP2,CD44,0.5344790449843015,1.0,0.5492608,0.0
1,2,PSAP,SORT1,0.534977033344193,0.10604053561571278,0.4729377,0.0
4,3,FN1,CD44,0.534977033344193,1.0,0.37785155,0.98
3,5,TIMP2,CD44,0.534977033344193,1.0,0.36563197,1.0
2,2,COL1A2,CD44,0.5391565225947468,1.0,0.46824878,0.92
1,2,TIMP1,CD63,0.5396626949842718,0.9596819803129746,0.54897743,0.0
1,4,COL1A2,CD44,0.5396626949842718,1.0,0.56480604,0.1
2,3,COL6A2,CD44,0.5425037063435924,1.0,0.2452178,1.0
5,2,NID1,PTPRF,0.5433577234290712,0.010589510962549661,0.4135085,0.0
